InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536000,22632,HAND WARMER RED POLKA DOT,2,2011-04-20 11:14:00,1.78,12089,United Kingdom
536001,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2011-03-22 11:32:00,2.61,12429,United Kingdom
536002,22633,HAND WARMER UNION JACK,4,2011-02-20 19:27:00,1.79,12344,United Kingdom
536001,84029E,RED WOOLLY HOTTIE WHITE HEART,10,2011-05-26 17:16:00,3.54,12549,United Kingdom
536004,85099C,JUMBO BAG BAROQUE BLACK WHITE,6,2011-09-09 12:53:00,2.08,12370,United Kingdom
536005,22086,PAPER CHAIN KIT 50'S CHRISTMAS,3,2011-11-04 11:49:00,2.45,12238,Netherlands
536001,84029E,RED WOOLLY HOTTIE WHITE HEART,4,2011-10-22 13:10:00,3.31,12273,France
536007,22086,PAPER CHAIN KIT 50'S CHRISTMAS,6,2011-10-08 18:10:00,2.5,12473,United Kingdom
536004,22961,JAM MAKING SET PRINTED,10,2011-11-16 13:53:00,1.39,12032,Germany
536009,84029E,RED WOOLLY HOTTIE WHITE HEART,8,2011-03-19 17:56:00,3.31,12511,United Kingdom
536002,22386,JUMBO BAG PINK POLKADOT,3,2011-02-12 12:08:00,1.99,12269,France
536002,22752,SET 7 BABUSHKA NESTING BOXES,6,2011-06-04 11:08:00,7.36,12048,Netherlands
536006,71053,WHITE METAL LANTERN,1,2011-11-14 14:38:00,3.39,12479,United Kingdom
536013,22961,JAM MAKING SET PRINTED,8,2011-11-14 19:07:00,1.48,12273,France
536004,84029E,RED WOOLLY HOTTIE WHITE HEART,1,2011-07-11 10:29:00,3.54,12269,Portugal
536015,21258,VICTORIAN SEWING BOX LARGE,6,2011-10-17 12:53:00,11.27,12156,United Kingdom
536016,71053,WHITE METAL LANTERN,1,2011-10-03 13:31:00,3.63,12314,United Kingdom
536017,84406B,CREAM CUPID HEARTS COAT HANGER,10,2011-01-13 19:31:00,2.96,12545,France
536004,71053,WHITE METAL LANTERN,6,2011-09-08 10:16:00,3.49,12216,Belgium
536009,21258,VICTORIAN SEWING BOX LARGE,48,2011-12-01 12:25:00,11.33,12448,Spain
536010,22752,SET 7 BABUSHKA NESTING BOXES,1,2011-03-26 09:21:00,7.82,12225,United Kingdom
536021,22086,PAPER CHAIN KIT 50'S CHRISTMAS,1,2011-03-28 09:57:00,2.53,12526,United Kingdom
536011,22632,HAND WARMER RED POLKA DOT,24,2011-09-03 10:46:00,1.89,12484,United Kingdom
536005,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,2011-03-08 09:06:00,4.23,12420,United Kingdom
536024,22086,PAPER CHAIN KIT 50'S CHRISTMAS,4,2011-01-01 14:46:00,2.71,12254,United Kingdom
536012,22633,HAND WARMER UNION JACK,5,2011-07-05 10:17:00,1.97,12077,United Kingdom
536026,22386,JUMBO BAG PINK POLKADOT,10,2010-12-26 18:34:00,2.1,12242,United Kingdom
536013,21730,GLASS STAR FROSTED T-LIGHT HOLDER,4,2011-06-24 08:10:00,4.58,12271,Belgium
536009,22114,HOT WATER BOTTLE TEA AND SYMPATHY,48,2011-07-05 19:46:00,3.53,12498,United Kingdom
536029,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,1,2011-09-23 19:34:00,3.36,12051,United Kingdom
536015,21730,GLASS STAR FROSTED T-LIGHT HOLDER,12,2010-12-30 16:05:00,4.08,12069,United Kingdom
536031,84406B,CREAM CUPID HEARTS COAT HANGER,6,2011-09-18 11:37:00,2.83,12429,United Kingdom
536010,22633,HAND WARMER UNION JACK,8,2011-04-13 11:42:00,1.81,12405,United Kingdom
536008,22632,HAND WARMER RED POLKA DOT,1,2011-05-11 20:59:00,1.87,12102,United Kingdom
536011,84406B,CREAM CUPID HEARTS COAT HANGER,1,2011-02-06 13:56:00,2.7,12291,United Kingdom
536011,22114,HOT WATER BOTTLE TEA AND SYMPATHY,6,2011-10-10 20:41:00,3.58,12306,Belgium
536018,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2011-04-15 09:56:00,2.61,12278,United Kingdom
536012,84406B,CREAM CUPID HEARTS COAT HANGER,12,2011-03-15 18:40:00,2.79,12257,Spain
536038,22114,HOT WATER BOTTLE TEA AND SYMPATHY,3,2011-10-21 14:53:00,3.28,12133,United Kingdom
536009,84406B,CREAM CUPID HEARTS COAT HANGER,6,2011-09-09 19:27:00,2.65,12152,United Kingdom
536020,22114,HOT WATER BOTTLE TEA AND SYMPATHY,4,2011-07-09 10:02:00,3.68,12040,Spain
536020,84406B,CREAM CUPID HEARTS COAT HANGER,10,2011-11-07 09:22:00,2.93,12416,Portugal
536021,21258,VICTORIAN SEWING BOX LARGE,2,2011-02-22 20:51:00,10.99,12183,France
536010,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,3,2011-11-08 19:51:00,3.29,12110,United Kingdom
536011,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,2011-03-24 11:52:00,2.54,12233,United Kingdom
536011,22632,HAND WARMER RED POLKA DOT,1,2011-05-18 12:55:00,1.94,12359,United Kingdom
536015,84029E,RED WOOLLY HOTTIE WHITE HEART,36,2010-12-15 09:56:00,3.3,12271,United Kingdom
536015,22632,HAND WARMER RED POLKA DOT,48,2011-05-10 14:38:00,1.79,12194,United Kingdom
536048,22086,PAPER CHAIN KIT 50'S CHRISTMAS,8,2011-08-24 20:34:00,2.73,12201,United Kingdom
536016,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,2011-10-16 13:42:00,2.66,12307,United Kingdom
536016,22632,HAND WARMER RED POLKA DOT,6,2011-06-25 19:18:00,1.8,12388,United Kingdom
536017,22386,JUMBO BAG PINK POLKADOT,1,2011-06-26 16:53:00,1.93,12440,Germany
536017,22632,HAND WARMER RED POLKA DOT,8,2011-07-27 15:28:00,1.88,12173,United Kingdom
536017,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,8,2011-01-17 20:15:00,3.32,12203,United Kingdom
536013,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,2011-10-09 20:04:00,2.72,12199,France
536013,84029E,RED WOOLLY HOTTIE WHITE HEART,8,2011-04-04 10:41:00,3.61,12109,France
536014,84406B,CREAM CUPID HEARTS COAT HANGER,12,2010-12-26 16:15:00,2.66,12136,Germany
536019,22632,HAND WARMER RED POLKA DOT,8,2011-07-15 17:52:00,1.88,12456,Spain
536014,22086,PAPER CHAIN KIT 50'S CHRISTMAS,3,2011-07-19 12:48:00,2.63,12533,United Kingdom
536014,84406B,CREAM CUPID HEARTS COAT HANGER,3,2011-01-09 19:18:00,2.73,12082,United Kingdom
536030,84406B,CREAM CUPID HEARTS COAT HANGER,5,2011-11-27 11:04:00,2.73,12477,United Kingdom
536015,71053,WHITE METAL LANTERN,24,2011-06-18 20:37:00,3.23,12389,United Kingdom
536020,85099C,JUMBO BAG BAROQUE BLACK WHITE,8,2011-06-18 14:34:00,1.99,12225,United Kingdom
536015,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,8,2010-12-15 14:21:00,3.57,12169,Germany
536064,85099C,JUMBO BAG BAROQUE BLACK WHITE,6,2011-06-20 17:36:00,1.87,12438,United Kingdom
536065,22752,SET 7 BABUSHKA NESTING BOXES,3,2011-04-13 14:20:00,7.59,12388,United Kingdom
536016,85099C,JUMBO BAG BAROQUE BLACK WHITE,1,2011-04-09 09:30:00,1.99,12358,United Kingdom
536067,85123A,WHITE HANGING HEART T-LIGHT HOLDER,10,2010-12-16 11:12:00,2.63,12244,United Kingdom
536034,22632,HAND WARMER RED POLKA DOT,10,2011-07-27 19:16:00,1.8,12117,France
536023,71053,WHITE METAL LANTERN,24,2011-01-25 17:01:00,3.47,12384,United Kingdom
536070,22086,PAPER CHAIN KIT 50'S CHRISTMAS,6,2011-09-30 19:53:00,2.46,12308,Netherlands
536071,22632,HAND WARMER RED POLKA DOT,4,2011-09-16 20:02:00,1.86,12379,United Kingdom
536072,22632,HAND WARMER RED POLKA DOT,5,2011-07-04 15:06:00,1.84,12470,France
536024,22752,SET 7 BABUSHKA NESTING BOXES,6,2011-10-12 20:58:00,7.75,12446,Germany
536024,22632,HAND WARMER RED POLKA DOT,12,2011-04-05 09:17:00,1.82,12475,United Kingdom
536025,22632,HAND WARMER RED POLKA DOT,4,2010-12-15 15:54:00,1.87,12363,Germany
536025,84029E,RED WOOLLY HOTTIE WHITE HEART,24,2011-09-11 08:33:00,3.26,12416,United Kingdom
536019,21258,VICTORIAN SEWING BOX LARGE,5,2011-10-27 19:31:00,10.43,12301,United Kingdom
536026,22086,PAPER CHAIN KIT 50'S CHRISTMAS,5,2011-11-05 17:23:00,2.6,12435,Italy
536026,22633,HAND WARMER UNION JACK,4,2011-11-25 15:17:00,1.81,12197,United Kingdom
536040,22086,PAPER CHAIN KIT 50'S CHRISTMAS,5,2011-03-09 11:47:00,2.66,12537,United Kingdom
536040,22961,JAM MAKING SET PRINTED,2,2011-05-01 11:23:00,1.38,12546,United Kingdom
536082,85123A,WHITE HANGING HEART T-LIGHT HOLDER,24,2011-09-10 12:44:00,2.63,12502,United Kingdom
536027,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2011-07-29 15:28:00,2.74,12258,Norway
536084,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,2011-06-24 15:04:00,4.42,12155,United Kingdom
536028,22633,HAND WARMER UNION JACK,6,2011-01-13 11:07:00,1.86,12231,France
536021,84029E,RED WOOLLY HOTTIE WHITE HEART,4,2011-05-02 17:27:00,3.49,12101,Norway
536043,71053,WHITE METAL LANTERN,2,2011-04-15 18:05:00,3.3,12076,United Kingdom
