ReviewID,ProductID,ProductName,Rating,ReviewDate,ReviewText
1,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,2010-12-02,"Very nice product, good quality and beautiful design."
2,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2010-12-03,"Looks great and arrived quickly. I am satisfied with this purchase."
3,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2010-12-04,"The item looks nice but the quality is worse than expected."
4,71053,WHITE METAL LANTERN,5,2010-12-02,"Excellent lantern, very decorative and solid."
5,71053,WHITE METAL LANTERN,3,2010-12-05,"Average product. It is acceptable but nothing special."
6,84406B,CREAM CUPID HEARTS COAT HANGER,4,2010-12-06,"Good product, useful and nicely made."
7,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,1,2010-12-07,"Poor quality. The product broke after first use."
8,84029E,RED WOOLLY HOTTIE WHITE HEART,2,2010-12-08,"Delivery was fast but the product quality is disappointing."
9,22752,SET 7 BABUSHKA NESTING BOXES,5,2010-12-09,"Beautiful set, perfect as a gift. Highly recommended."
10,21730,GLASS STAR FROSTED T-LIGHT HOLDER,4,2010-12-10,"Nice decoration and good value for money."
11,22633,HAND WARMER UNION JACK,5,2010-12-11,"Works very well and keeps hands warm for a long time."
12,22632,HAND WARMER RED POLKA DOT,4,2010-12-11,"Good hand warmer, comfortable and useful."
13,22086,PAPER CHAIN KIT 50'S CHRISTMAS,5,2010-12-12,"Great Christmas product. My family liked it a lot."
14,21258,VICTORIAN SEWING BOX LARGE,3,2010-12-13,"The box is nice but a bit too expensive."
15,22114,HOT WATER BOTTLE TEA AND SYMPATHY,1,2010-12-14,"Terrible product. It leaked after one day."
16,22386,JUMBO BAG PINK POLKADOT,5,2010-12-15,"Strong bag, pretty design and very practical."
17,85099C,JUMBO BAG BAROQUE BLACK WHITE,4,2010-12-15,"Useful bag with good capacity. I would buy again."
18,22961,JAM MAKING SET PRINTED,5,2010-12-16,"Excellent set, clear instructions and nice packaging."
19,22632,HAND WARMER RED POLKA DOT,2,2010-12-17,"The product works but the material feels cheap."
20,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,2010-12-18,"Beautiful and elegant. Very happy with the purchase."
