ReviewID,ProductID,ProductName,Rating,ReviewDate,ReviewText
1,85099C,JUMBO BAG BAROQUE BLACK WHITE,5,2011-11-16,I expected better quality for this price.
2,84406B,CREAM CUPID HEARTS COAT HANGER,3,2011-04-05,The product did not meet my expectations.
3,85099C,JUMBO BAG BAROQUE BLACK WHITE,2,2011-05-12,"Average product, acceptable but nothing special."
4,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,2011-05-18,"Good quality, but the price is slightly higher than I would like."
5,21730,GLASS STAR FROSTED T-LIGHT HOLDER,4,2011-03-07,"Delivery was fast, but the product quality was poor. I used it for a few days."
6,22632,HAND WARMER RED POLKA DOT,5,2011-05-15,"Good quality, but the price is slightly higher than I would like. I checked similar products before buying."
7,21258,VICTORIAN SEWING BOX LARGE,3,2011-09-21,Delivery was normal and the product is acceptable. The description was mostly accurate.
8,22632,HAND WARMER RED POLKA DOT,3,2011-06-26,"The product works, although the design is not very impressive."
9,22752,SET 7 BABUSHKA NESTING BOXES,4,2011-04-16,"I am satisfied with this purchase, although delivery could be faster. For this price, the result is acceptable."
10,22386,JUMBO BAG PINK POLKADOT,5,2011-09-03,"Some parts are good, but other details feel average."
11,22386,JUMBO BAG PINK POLKADOT,5,2011-08-20,"Very useful product, solid and nicely made. I checked similar products before buying."
12,22752,SET 7 BABUSHKA NESTING BOXES,5,2011-02-11,"The product quality is good, but the packaging was average. The description was mostly accurate."
13,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2011-11-18,"It does the job, but nothing more."
14,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,1,2011-10-23,"The item is usable, but I am not fully convinced."
15,22961,JAM MAKING SET PRINTED,4,2011-05-26,"Very useful product, solid and nicely made."
16,22961,JAM MAKING SET PRINTED,1,2011-09-13,Poor quality. The product broke after first use. The first impression was different than expected.
17,85099C,JUMBO BAG BAROQUE BLACK WHITE,4,2011-11-17,I would buy this product again because it is reliable and practical.
18,22752,SET 7 BABUSHKA NESTING BOXES,3,2011-05-17,"Average product, acceptable but nothing special."
19,84029E,RED WOOLLY HOTTIE WHITE HEART,1,2011-01-28,"Delivery was fast, but the product quality was poor."
20,22386,JUMBO BAG PINK POLKADOT,3,2011-07-07,"The product works, although the design is not very impressive. The product has both advantages and disadvantages."
21,84029E,RED WOOLLY HOTTIE WHITE HEART,1,2011-07-23,"Neutral experience. The item is usable but not impressive. For this price, the result is acceptable."
22,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2011-03-13,I am disappointed with this purchase.
23,22961,JAM MAKING SET PRINTED,3,2011-07-07,"Quality is acceptable, but there are better alternatives."
24,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2011-08-30,Great value for money and the product works well.
25,22086,PAPER CHAIN KIT 50'S CHRISTMAS,1,2011-03-25,"The design is nice, but the item does not work well. This may depend on customer expectations."
26,85099C,JUMBO BAG BAROQUE BLACK WHITE,4,2011-04-12,"Average product, acceptable but nothing special."
27,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,3,2011-02-12,"It looked good at first, but after using it I noticed several problems. For this price, the result is acceptable."
